Abaeis nicippe,Sleepy orange butterfly
Quercus ilex,Holly oak
Quercus imbricaria,Shingle oak
Quercus kelloggii,California black oak
Quercus lobata,Valley oak
Quercus lyrata,Overcup oak
Quercus palustris,Pin oak
Quercus petraea,Durmast oak
Quercus robur,English oak
Quercus rubra,Northern red oak
Quercus suber,Cork oak
Quercus tomentella,Island oak
Quercus turbinella,Sonoran scrub oak
Quercus vacciniifolia,Huckleberry oak
Quercus virginiana,Southern live oak
Quercus wislizeni,Interior live oak
Quillaja saponaria,Soap bark tree
Quiscalus major,Boat-tailed grackle
Quiscalus mexicanus,Great-tailed grackle
Quiscalus quiscula,Common grackle
Quistrachia montebelloensis,Land snail
Radjah radjah,Radjah shelduck
Radopholus similis,Burrowing nematode
Raillardella argentea,Silky raillardella
Raja clavata,Thornback ray
Raja eglanteria,Clearnose skate
Raja miraletus,Brown ray
Raja pulchra,Mottled skate
Raja rhina,Longnose skate
Rajella fyllae,Round ray
Rallus elegans,King rail
Rallus limicola,Virginia rail
Rallus longirostris,Clapper rail
Ramazzottius varieornatus,Water bear
Ramisyllis multicaudata,Polychaete worm
Ramphastos cuvieri,Cuvier's toucan
Ramphastos toco,Toco toucan
Ramphiculus occipitalis,Yellow-breasted fruit dove
Ramphocelus carbo,Silver-beaked tanager
Ramphocinclus brachyurus,White-breasted thrasher
Ramphotyphlops sp.,Blind snake
Rana amurensis,Siberian wood frog
Rana areolata,Crawfish frog
Rana arvalis,Moor frog
Rana aurora,Red-legged frog
Rana boylii,Foothill yellow-legged frog
Rana clamitans,Green frog
Rana dalmatina,Agile frog
Rana dybowskii,Dybovsky's frog
Rana huanrensis,Huanren frog
Rana italica,Italian stream frog
Rana japonica,Japanese reddish frog
Rana luteiventris,Spotted frog
Rana palustris,Pickerel frog
Rana sevosa,Dusky gopher frog
Rana shuchinae,Sichuan frog
Rana sphenocephala,Southern leopard frog
Rana sylvatica,Wood frog
Rana temporaria,European common frog
Rangia cuneata,Brackish marsh clam
Ranina ranina,Spanner crab
Rankinia diemensis,Mountain dragon
Ranodon sibiricus,Siberian salamander
Ranunculus acris,Meadow buttercup
Ranunculus bulbosus,Bulbous buttercup
Ranunculus ficaria,Lesser celandine
Ranunculus glacialis,Glacier buttercup
Ranunculus hispidus,Carolina buttercup
Ranunculus lingua,Greater spearwort
Ranunculus lyallii,Giant mountain buttercup
Ranunculus macranthus,Large buttercup
Ranunculus repens,Creeping buttercup
Ranunculus sericophyllus,Feathery-leaved buttercup
Ranunculus trichophyllus,Whitewater crowfoot
Ranzania laevis,Slender sunfish
Rapana venosa,Veined rapa whelk
Raphanus raphanistrum,Wild radish
Raphanus raphanistrum,Mediterranean radish
Raphicerus melanotis,Cape grysbok
Raphicerus sharpei,Sharpe's grysbok
Rasbora elegans,Elegant rasbora
Rasbora paviana,Sidestripe rasbora
Rastrelliger brachysoma,Short mackerel
Rastrelliger kanagurta,Indian mackerel
Rathbunella hypoplecta,Stripefin ronquil
Ratibida columnifera,Mexican hat
Rattus andamanensis,Sikkim rat
Rattus argentiventer,Rice-field rat
Rattus colletti,Dusky rat
Rattus everetti,Philippine forest rat
Rattus exulans,Polynesian rat
Rattus flavipectus,Yellow-breasted rat
Rattus fuscipes,Bush rat
Rattus leucopus,Cape York rat
Rattus nitidus,Himalayan field rat
Rattus rattus,Black rat
Rattus sordidus,Dusky field rat
Rattus tanezumi,Oriental house rat
Rattus tiomanicus,Malayan field rat
Rattus tunneyi,Tunney's rat
Rattus villosissimus,Long-haired rat
Ratufa affinis,Cream-coloured giant squirrel
Ratufa bicolor,Black giant squirrel
Rauvolfia serpentina,Serpentine wood
Rauvolfia verticillata,Common devil-pepper
Ravenea rivularis,Majesty palm
Rebecca salina,Marine microalga
Recilia dorsalis,Zigzag leafhopper
Recurvirostra americana,American avocet
Recurvirostra avosetta,Pied avocet
Redunca arundinum,Southern reedbuck
Redunca fulvorufula,Mountain reedbuck
Redunca redunca,Bohor reedbuck
Regalecus glesne,King of herrings
Regulus calendula,Ruby-crowned kinglet
Regulus satrapa,Golden-crowned kinglet
Rehmannia glutinosa,Chinese foxglove
Reinwardtoena browni,Pied cuckoo-dove
Reishia clavigera,Sea snail
Reithrodon auritus,Bunny rat
Reithrodontomys creper,Chiriqui harvest mouse
Reithrodontomys fulvescens,Fulvous harvest mouse
Reithrodontomys gracilis,Slender harvest mouse
Reithrodontomys humulis,Eastern harvest mouse
Reithrodontomys megalotis,Western harvest mouse
Reithrodontomys mexicanus,Mexican harvest mouse
Reithrodontomys microdon,Small-toothed harvest mouse
Reithrodontomys spectabilis,Cozumel harvest mouse
Reithrodontomys sumichrasti,Sumichrast's harvest mouse
Remiz pendulinus,Eurasian penduline-tit
Remusatia vivipara,Hitchhiker elephant ear
Rena dulcis,Texas blind snake
Rena humilis,Western blind snake
Renilla koellikeri,Koelliker's sea pansy
Renilla muelleri,Sea pansy
Renilla reniformis,Sea pansy
Reticulitermes flavipes,Eastern subterranean termite
Reticulitermes tibialis,Western subterranean termite
Rexea solandri,Silver gemfish
Rhabdastrella globostellata,Yellow pot sponge
Rhabdocalyptus dawsoni,Boot sponge
Rhabdomys pumilio,Four-striped grass mouse
Rhabdophis tigrinus,Tiger keelback snake
Rhabdosargus sarba,Goldlined seabream
Rhabdotorrhinus corrugatus,Wrinkled hornbill
Rhacophorus schlegelii,Japanese gliding frog
Rhadinocentrus ornatus,Ornate rainbowfish
Rhagoletis completa,Walnut husk fly
Rhagoletis pomonella,Apple maggot fly
Rhagoletis zephyria,Snowberry fruit fly
Rhamdia guatemalensis,Pale catfish
Rhamdia quelen,South American catfish
Rhamdia sapo,South American catfish
Rhamnus cathartica,Common buckthorn
Rhampholeon spectrum,Spectral pygmy chameleon
Rhantaticus congestus,Predaceous diving beetle
Rhantus latus,Predaceous diving beetle
Rhantus suturalis,Predaceous diving beetle
Rhapis humilis,Slender lady palm
Rhea americana,Greater rhea
Rhea pennata,Lesser rhea
Rheinardia ocellata,Crested argus
Rheobates palmatus,Palm rocket frog
Rhesus papillomavirus,Rhpv 1
Rheum australe,Himalayan rhubarb
Rheum officinale,Chinese rhubarb
Rheum palmatum,Chinese rhubarb
Rhexia mariana,Maryland meadowbeauty
Rhexia virginica,Virginia meadow beauty
Rhinanthus minor,Little yellow rattle
Rhinatrema bivittatum,Two-lined caecilian
Rhinecanthus aculeatus,Picasso triggerfish
Rhinella arenarum,Argentine common toad
Rhinella crucifer,striped toad
Rhinella granulosa,Granular toad
Rhinella marina,Cane toad
Rhinella schneideri,Cururu toad
Rhinesomus triqueter,Smooth trunkfish
Rhineura floridana,Florida worm lizard
Rhinobatos hynnicephalus,Angel fish
Rhinobatos schlegelii,Brown guitarfish
Rhinoceros sondaicus,Javan rhinoceros
Rhinoceros unicornis,Greater Indian rhinoceros
Rhinochimaera pacifica,Pacific spookfish
Rhinogobiops nicholsii,Blackeye goby
Rhinolophus acuminatus,Acuminate horseshoe bat
Rhinolophus affinis,Intermediate horseshoe bat
Rhinolophus alcyone,Halcyon horseshoe bat
Rhinolophus arcuatus,Arcuate horseshoe bat
Rhinolophus blythi,Blyth's horsehoe bat
Rhinolophus borneensis,Bornean horseshoe bat
Rhinolophus creaghi,Creagh's horseshoe bat
Rhinolophus darlingi,Darling's horseshoe bat
Rhinolophus euryale,Mediterranean horsehoe bat
Rhinolophus ferrumequinum,Greater horseshoe bat
Rhinolophus hipposideros,Lesser horseshoe bat
Rhinolophus landeri,Lander's horseshoe bat
Rhinolophus macrotis,Big-eared horseshoe bat
Rhinolophus megaphyllus,Smaller horseshoe bat
Rhinolophus pumilus,Horseshoe bat
Rhinomugil nasutus,Shark mullet
Rhinomuraena quaesita,Ribbon moray
Rhinopithecus avunculus,Tonkin snub-nosed monkey
Rhinopithecus bieti,Black snub-nosed monkey
Rhinopithecus roxellana,Golden snub-nosed monkey
Rhinoplax vigil,Helmeted hornbill
Rhinopoma hardwickii,Lesser mouse-tailed bat
Rhinopomastus cyanomelas,Common scimitarbill
Rhipicephalus appendiculatus,Brown ear tick
Rhipicephalus decoloratus,African blue tick
Rhipicephalus evertsi,Red-legged tick
Rhipicephalus microplus,Cattle tick
Rhipicephalus sanguineus,Brown dog tick
Rhipidomys leucodactylus,White-footed climbing mouse
Rhipidomys macconnelli,MacConnell's climbing mouse
Rhipidomys mastacalis,Long-tailed climbing mouse
Rhipidomys wetzeli,Wetzel's climbing mouse
Rhithropanopeus harrisii,Harris mud crab
Rhizobium meliloti,Ensifer meliloti
Rhizobium meliloti,Ensifer meliloti
Rhizobium radiobacter,Agrobacterium tumefaciens
Rhizomys sinensis,Chinese bamboo rat
Rhizophagus dispar,Root-eating beetle
Rhizophagus irregularis,Arbuscular mycorrhizal fungus
Rhizophagus irregularis,Arbuscular mycorrhizal fungus
Rhizophora mangle,Red mangrove
Rhizophora mucronata,Asiatic mangrove
Rhizoprionodon acutus,Milk shark
Rhizoprionodon porosus,Caribbean sharpnose shark
Rhizoprionodon terraenovae,Atlantic sharpnose shark
Rhizopus chinensis,Bread mold
Rhizopus delemar,Mucormycosis agent
Rhizopus oryzae,Mucormycosis agent
Rhizostoma pulmo,Barrel jellyfish
Rhodella violacea,Red alga
Rhodnius prolixus,Triatomid bug
Rhodnius robustus,Triatomid bug
Rhodochiton atrosanguineum,Purple bell vine
Rhododendron albiflorum,Cascade azalea
Rhododendron albrechtii,Albrecht's azalea
Rhododendron arboreum,Tree rhododendron
Rhododendron atlanticum,Dwarf azalea
Rhododendron catawbiense,Catawba rhododendron
Rhododendron eriocarpum,Gumpo azalea
Rhododendron farrerae,Mrs. Farrer's rhododendron
Rhododendron groenlandicum,Labrador tea
Rhododendron hongkongense,Hongkong azalea
Rhododendron impeditum,Dwarf purple rhododendron
Rhododendron indicum,Evergreen azalea
Rhododendron kaempferi,Torch azalea
Rhododendron kiusianum,Kyushu azalea
Rhododendron luteum,Yellow azalea
Rhododendron macrophyllum,Pacific rhododendron
Rhododendron macrosepalum,Big sepal azalea
Rhododendron maximum,Great laurel
Rhododendron molle,Chinese azalea
Rhododendron moulmainense,Westland's rhododendron
Rhododendron mucronulatum,Korean rhododendron
Rhododendron occidentale,Western azalea
Rhododendron pentaphyllum,Five-leaf azalea
Rhododendron schlippenbachii,Royal azalea
Rhododendron serpyllifolium,Wild thyme azalea
Rhododendron simsii,Sims's rhododendron
Rhododendron smirnowii,Smirnow's rhododendron
Rhododendron tomentosum,Marsh Labrador tea
Rhododendron ungernii,Ungern's rhododendron
Rhodomela confervoides,Red alga
Rhodostethia rosea,Ross's gull
Rhodothamnus chamaecistus,Dwarf Alpenrose
Rhodotypos scandens,Black jetbead
Rhodymenia novahollandica,Red alga
Rhodymenia pseudopalmata,Red alga
Rhodymenichthys dolichogaster,Striped gunnel
Rhomboplites aurorubens,Vermilion Snapper
Rhopalomyia pomum,Sponge gall midge
Rhopalosiphum maidis,Corn leaf aphid
Rhopalosiphum padi,Bird cherry-oat aphid
Rhopalurus junceus,Caribbean blue scorpion
Rhopilema nomadica,Mediteranean medusa
Rhus aromatica,Fragrant sumac
Rhus chinensis,Chinese sumac
Rhus copallinum,Winged sumac
Rhus coriaria,Sicilian sumac
Rhus glabra,Smooth sumac
Rhus integrifolia,Lemonade sumac
Rhus kearneyi,Kearney's sumac
Rhus lanceolata,Prairie sumac
Rhus michauxii,Michaux's sumac
Rhus microphylla,Littleleaf sumac
Rhus ovata,Sugar sumac
Rhus punjabensis,Punjab sumac
Rhus trilobata,Skunkbush sumac
Rhus typhina,Staghorn sumac
Rhus virens,Evergreen sumac
Rhyacodrilus falciformis,Oligochaete worm
Rhynchactis macrothrix,Deep-sea anglerfish
Rhynchium brunneum,Potter wasp
Rhynchobatus djiddensis,Giant guitarfish
Rhynchoedura ornata,Beaked gecko
Rhynchogale melleri,Meller's mongoose
Rhyncholestes raphanurus,Chilean shrew opossum
Rhynchomys isarogensis,Isarog shrew rat
Rhynchonycteris naso,Proboscis bat
Rhynchopelates oxyrhynchus,Sharpbeak terapon
Rhynchophanes mccownii,McCown's longspur
Rhynchophorus cruentatus,Palmetto weevil
Rhynchosciara americana,Fungus gnat
Rhynchospiza stolzmanni,Tumbes sparrow
Rhynchospiza strigiceps,Stripe-capped sparrow
Rhynchosporium secalis,Barley scald fungus
Rhynchotus rufescens,Red-winged tinamou
Rhyparobia maderae,Madeira cockroach
Rhyticeros cassidix,Knobbed hornbill
Rhyticeros undulatus,Wreathed hornbill
Rhyticeros waldeni,Rufous-headed hornbill
Rhyzopertha dominica,Lesser grain borer
Ribes americanum,American black currant
Ribes californicum,Hillside gooseberry
Ribes indecorum,Whiteflower currant
Ribes nigrum,European black currant
Ribes speciosum,Fuchsia flowered gooseberry
Ricinus communis,Castor bean
Ricordea florida,Soft coral
Rieppeleon brevicaudatus,Bearded pygmy chameleon
Riftia pachyptila,Vent tube worm
Riparia riparia,Bank swallow
Riptortus clavatus,Bean bug
Riptortus pedestris,Bean bug
Rissa brevirostris,Red-legged kittiwake
Rissa tridactyla,Black-legged kittiwake
Rita rita,Rita catfish
Rivula propinqualis,Spotted grass moth
Robinia pseudoacacia,Black locust
Robinsia catherinae,False moray eel
Rocio octofasciata,Jack Dempsey
Roeseliana roeselii,Roesel's bush-cricket
Rojasianthe superba,White tree sunflower
Rollulus rouloul,Crested partridge
Romalea microptera,Eastern lubber grasshopper
Romaleon antennarium,Pacific rock crab
Romanomermis culicivorax,Nematode worm
Romanomermis iyengari,Insect parasitic nematode
Romanzoffia californica,California mistmaiden
Romanzoffia thompsonii,Thompson's mistmaiden
Romerolagus diazi,Volcano rabbit
Romneya coulteri,Coulter's matilija poppy
Ronquilus jordani,Northern ronquil
Rorippa amphibia,Great yellow-cress
Rorippa curvipes,Bluntleaf yellow-cress
Rorippa indica,Variableleaf yellow-cress
Rorippa palustris,Bog yellow-cress
Rorippa sylvestris,Creeping yellow-cress
Rosa acicularis,Prickly rose
Rosa californica,California wild rose
Rosa canina,Dog rose
Rosa carolina,Pasture rose
Rosa chinensis,China rose
Rosa damascena,Damask rose
Rosa foetida,Austrian briar
Rosa gigantea,Giant tea rose
Rosa multiflora,Multiflora rose
Rosa rugosa,Rugosa rose
Rosa stellata,Star rose
Rosellinia necatrix,White root-rot fungus
Rossia pacifica,Stubby squid
Rossia palpebrosa,Warty bobtail squid
Rossioglossum ampliatum,Turtle shell orchid
Rostrhamus sociabilis,Snail kite
Rosulabryum capillare,Bryum moss
Rotavirus X,RV ADRV-N
Rotavirus X,RV ADRV-N
Rothschildia orizaba,Giant silkworm moth
Rotylenchulus reniformis,Reniform nematode
Rousettus aegyptiacus,Egyptian rousette
Rousettus amplexicaudatus,Common rousette
Rousettus lanosus,Long-haired rousette
Rousettus leschenaultii,Leschenault's rousette
Rousettus madagascariensis,Madagascar rousette
Roystonea oleracea,Caribbee royal palm
Roystonea regia,Cuban royal palm
Rubia cordifolia,Indian madder
Rubrivivax gelatinosus,Rhodocyclus gelatinosus
Rubus allegheniensis,Allegheny blackberry
Rubus argutus,Southern blackberry
Rubus flagellaris,Northern dewberry
Rubus niveus,Mysore raspberry
Rubus occidentalis,Black raspberry
Rubus odoratus,Purple-flowering raspberry
Rubus ursinus,California blackberry
Rucervus duvaucelii,Swamp deer
Rucervus eldii,Eld's deer
Rucervus schomburgki,Schomburgk's deer
Rudarius ercodes,Whitespotted pygmy filefish
Rudbeckia hirta,Black-eyed Susan
Rudbeckia laciniata,Cutleaf coneflower
Ruditapes philippinarum,Japanese littleneck clam
Rugilus geniculatus,Rove beetle
Rugosa rugosa,Japanese wrinkled frog
Rumex acetosa,Garden sorrel
Rumex crispus,Curly dock
Rumex obtusifolius,Bitter dock
Rumfordia penninervis,Mexican daisy
Rumina decollata,Decollate snail
Rumina saharica,Land snail
Rupicapra pyrenaica,Pyrenean chamois
Rupicapra rupicapra,Alpine chamois
Rupicola peruvianus,Andean cock-of-the-rock
Rusa unicolor,Formosan sambar
Ruscus aculeatus,Butcher's broom
Ruspolia dubia,Long-horned meadow grasshopper
Ruspolia lineosa,Long-horned meadow grasshopper
Ruta graveolens,Common rue
Ruttya fruticosa,African azalea
Rynchops niger,Black skimmer
Saara hardwickii,Indian spiny-tailed lizard
Sabal domingensis,Palmetto palm
Sabal minor,Dwarf palmetto
Sabanejewia balcanica,Golden loach
Sabatia angularis,Rose pink
Sabella spallanzanii,European fan worm
Sabellaria alveolata,Honeycomb worm
Sabellastarte magnifica,Feather duster
Saccharicoccus sacchari,Pink sugarcane mealybug
Saccharina angustata,Brown alga
Saccharina japonica,Sweet kelp
Saccharina latissima,Sugar kelp
Saccharina longipedalis,Brown alga
Saccharina longissima,Brown alga
Saccharina ochotensis,Brown alga
Saccharina religiosa,Brown alga
Saccharomyces cerevisiae,Baker's yeast
Saccharomyces cerevisiae,Baker's yeast
Saccharomyces cerevisiae,Baker's yeast
Saccharomyces cerevisiae,Baker's yeast
Saccharomyces cerevisiae,Baker's yeast
Saccharomyces cerevisiae,Baker's yeast
Saccharomyces cerevisiae,Baker's yeast
Saccharomyces cerevisiae,Baker's yeast
Saccharomyces cerevisiae,Baker's yeast
Saccharomyces cerevisiae,Baker's yeast
Saccharomyces cerevisiae,Baker's yeast
Saccharomyces cerevisiae,Baker's yeast
Saccharomyces cerevisiae,Baker's yeast
Saccharomyces cerevisiae,Baker's yeast
Saccharomyces cerevisiae,Baker's yeast
Saccharomyces pastorianus,Saaz-type lager yeast
Saccharomyces pastorianus,Saaz-type lager yeast
Saccharomyces pastorianus,Lager yeast
Saccharomyces pastorianus,Frohberg-type lager yeast
Saccharum barberi,Indian sugarcane
Saccharum edule,Vegetable cane
Saccharum robustum,Wild New-Guinean cane
Saccharum sinense,Chinese sugarcane
Saccharum spontaneum,Wild sugarcane
Saccoglossus kowalevskii,Acorn worm
Saccolaimus flaviventris,Yellow-bellied pouched bat
Saccolaimus saccolaimus,Naked-rumped pouched bat
Saccopteryx bilineata,Greater white-lined bat
Saccopteryx leptura,Lesser sac-winged bat
Sagartia rosea,Sea anemone
Sagittaria latifolia,Broadleaf arrowhead
Sagittaria montevidensis,Giant arrowhead
Sagittarius serpentarius,Secretary bird
Saguinus bicolor,Pied bare-faced tamarin
Saguinus fuscicollis,Geoffroy's saddle-back tamarin
Saguinus fuscicollis,Brown-headed tamarin
Saguinus fuscicollis,Weddell's saddle-back tamarin
Saguinus geoffroyi,Geoffroy's tamarin
Saguinus imperator,Emperor tamarin
Saguinus labiatus,Red-chested mustached tamarin
Saguinus leucopus,Silvery-brown bare-face tamarin
Saguinus martinsi,Martin's tamarin
Saguinus midas,Midas tamarin
Saguinus midas,Golden-handed tamarin
Saguinus mystax,Moustached tamarin
Saguinus niger,Black tamarin
Saguinus nigricollis,Black-mantled tamarin
Saguinus oedipus,Cotton-top tamarin
Sahyadria denisonii,Denison barb
Saiga tatarica,Saiga antelope
Saimiri boliviensis,Bolivian squirrel monkey
Saimiri boliviensis,Peruvian squirrel monkey
Saimiri sciureus,Common squirrel monkey
Saimiri ustus,Golden-backed squirrel monkey
Salacca zalacca,Snake palm
Salamandra atra,Alpine salamander
Salamandra salamandra,European fire salamander
Salamandrella keyserlingii,Siberian newt
Salamandrella tridactyla,Schrenck's Siberian newt
Salangichthys microdon,Japanese icefish
Salanoia concolor,Malagasy brown-tailed mongoose
Salaria pavo,Peacock blenny
Salarias fasciatus,Jewelled blenny
Salicornia bigelovii,Dwarf glasswort
Salicornia europaea,Common glasswort
Salicornia fruticosa,Shrubby swampfire
Salinomys delicatus,Delicate mouse
Salishia firma,Red seaweed
Salix alba,White willow
Salix babylonica,Babylon weeping willow
Salix bakko,Japanese willow
Salix discolor,Pussy willow
Salix exigua,Narrowleaf willow
Salix fragilis,Crack willow
Salix melanopsis,Dusky willow
Salix purpurea,Purple osier willow
Salix reticulata,Net-leaved willow
Salix triandra,Almond-leaved willow
Salix viminalis,Common osier
Salmo caspius,Caspian trout
Salmo salar,Atlantic salmon
Salmo trutta,Brown trout
Salpinctes obsoletus,Rock wren
Saltator maximus,Buff-throated saltator
Salvadora persica,Toothbrush tree
Salvator duseni,Yellow tegu
Salvelinus alpinus,Arctic char
Salvelinus confluentus,Bull trout
Salvelinus fontinalis,Brook trout
Salvelinus leucomaenis,Whitespotted char
Salvelinus namaycush,Lake trout
Salvia coccinea,Scarlet sage
Salvia divinorum,Maria pastora
Salvia glutinosa,Jupiter's distaff
Salvia guaranitica,Blue anise sage
Salvia miltiorrhiza,Chinese sage
Salvia pratensis,Meadow clary
Salvia roemeriana,Cedar sage
Salvia rosmarinus,Rosemary
Salvia sclarea,Clary sage
Salvia splendens,Scarlet sage
Salvia viridis,Clary sage
Salvinia auriculata,Eared water-moss
Samanea saman,Rain tree
Sambucus ebulus,Dwarf elderberry
Sambucus nigra,Blue elderberry
Sambucus nigra,European elder
Sambucus nigra,American elderberry
Sambucus racemosa,Red elderberry
Samia cynthia,Ailanthus silkmoth
Samia ricini,Indian eri silkmoth
Sancassania berlesei,Wet grain mite
Sanguirana varians,Palawan frog
Sanguisorba officinalis,Great burnet
Sanicula canadensis,Black snakeroot
Sanicula europaea,Wood sanicle
Santalum album,White sandalwood
Santalum murrayanum,Bitter quandong
Santalum spicatum,Australian sandalwood
Sanzinia madagascariensis,Madagascar tree boa
Sapajus apella,Brown-capped capuchin
Sapindus mukorossi,Chinese soapberry
Saponaria officinalis,Common soapwort
Saproscincus basiliscus,Pale-lipped shade skink
Saproscincus lewisi,Lewis' shade skink
Sarcinofilum mucosum,Green alga
Sarcodiotheca gaudichaudii,Red alga
Sarcophaga argyrostoma,Flesh fly
Sarcophaga bullata,Grey flesh fly
Sarcophaga carnaria,Grey fleshfly
Sarcophaga peregrina,Flesh fly
Sarcophilus harrisii,Tasmanian devil
Sarcoptes scabiei,Itch mite
Sarcoramphus papa,King vulture
Sarcothalia stiriata,Red alga
Sarda chiliensis,Pacific bonito
Sarda orientalis,Striped bonito
Sarda sarda,Atlantic bonito
Sardina pilchardus,European pilchard
Sardinella albella,White sardinella
Sardinella maderensis,Madeiran sardinella
Sardinops neopilchardus,Australian pilchard
Sargassum fulvellum,Brown seaweed
Sargassum fusiforme,Hijiki seaweed
Sargocentron caudimaculatum,Silverspot squirrelfish
Sargocentron cornutum,Threespot squirrelfish
Sargocentron coruscum,Reef squirrelfish
Sargocentron diadema,Crown squirrelfish
Sargocentron microstoma,Smallmouth squirrelfish
Sargocentron punctatissimum,Speckled squirrelfish
Sargocentron spiniferum,Sabre squirrelfish
Sargocentron tiere,Blue lined squirrelfish
Sargocentron xantherythrum,Hawaiian squirrelfish
Sarkidiornis melanotos,African comb duck
Sarocalamus faberi,Asian bamboo
Sarracenia flava,Yellow pitcher plant
Sarracenia purpurea,Pitcher plant
Saruma henryi,Upright wild ginger
Sasia ochracea,White-browed piculet
Sassafras albidum,White sassafras
Sassia remensa,Sea snail
Satanoperca jurupari,Demon eartheater
Satureja hortensis,Summer savory
Satureja montana,Winter savory
Satyrium behrii,Behr's hairstreak
Satyrium carneum,Waxy satyr orchid
Satyrium esculi,False ilex hairstreak
Satyrodes eurydice,Eyed brown butterfly
Saurida elongata,Slender lizardfish
Saurida microlepis,Shortfin lizardfish
Saurida undosquamis,Brushtooth lizardfish
Saurida wanieso,Wanieso lizardfish
Sauromalus ater,Common chuckwalla
Sauromalus hispidus,Spiny chuckwalla
Sauromatum giganteum,Giant voodoo lily
Sauromatum venosum,Voodoo lily
Sauromys petrophilus,Roberts's flat-headed bat
Saururus cernuus,Lizard's tail
Saxicola dacotiae,Fuerteventura stonechat
Saxicola ferreus,Grey bushchat
Saxicola torquatus,Common stonechat
Saxifraga cernua,Nodding saxifrage
Saxifraga mertensiana,Wood saxifrage
Saxifraga oppositifolia,Purple mountain saxifrage
Sayornis nigricans,Black phoebe
Sayornis phoebe,Eastern phoebe
Sayornis saya,Say's phoebe
Scadoxus puniceus,Paintbrush lily
Scaevola aemula,Common fanflower
Scaevola coriacea,Dwarf naupaka
Scaevola taccada,Beach cabbage
Scalopus aquaticus,Eastern mole
Scapania aspera,Rough earwort
Scapania nemorea,Grove earwort
Scapanus latimanus,Broad-footed mole
Scapanus orarius,Coast mole
Scapanus townsendii,Townsend's mole
Scaphechinus mirabilis,Sand dollar
Scaphidium quadrimaculatum,Shining fungus beetle
Scaphiopus couchii,Couch's spadefoot toad
Scaphirhynchus platorynchus,Shovelnose sturgeon
Scaptomyza albovittata,Fruit fly
Scaptomyza crassifemur,Fruit fly
Scaptonyx fusicaudus,Long-tailed mole
Scarabaeus laticollis,Scarab dung beetle
Scarus coelestinus,Midnight parrotfish
Scarus flavipectoralis,Yellowfin parrotfish
Scarus forsteni,Forsten's parrotfish
Scarus frenatus,Bridled parrotfish
Scarus ghobban,Blue-barred parrotfish
Scarus guacamaia,Rainbow parrotfish
Scarus iseri,Striped parrotfish
Scarus rubroviolaceus,Ember parrotfish
Scarus schlegeli,Yellowband parrotfish
Scarus vetula,Queen parrotfish
Scathophaga stercoraria,Yellow dung fly
Scatophagus argus,Spotted scat
Sceloporus graciosus,Sagebrush lizard
Sceloporus grammicus,Mesquite lizard
Sceloporus jarrovii,Yarrow's spiny lizard
Sceloporus magister,Desert spiny lizard
Sceloporus occidentalis,Western fence lizard
Sceloporus poinsettii,Crevice spiny lizard
Sceloporus tristichus,Plateau fence lizard
Sceloporus undulatus,Eastern fence lizard
Sceloporus virgatus,Striped plateau lizard
Sceloporus woodi,Florida scrub lizard
Scenedesmus fuscus,Green alga
Scenedesmus quadricauda,Green alga
Scenopoeetes dentirostris,Tooth-billed bowerbird
Sceptridium dissectum,Cut-leaved grape-fern
Sceptridium multifidum,Leathery grape-fern
Schaefferia frutescens,Florida boxwood
Schedophilus velaini,Violet warehou
Scherffelia dubia,Green alga
Schinus molle,California pepper tree
Schisandra chinensis,Chinese magnolia vine
Schisandra sphenanthera,Southern magnolia vine
Schistocerca americana,American grasshopper
Schistocerca gregaria,Desert locust
Schistocerca nitens,Vagrant locust
Schistometopum thomense,Sao Tome caecilian
Schistosoma bovis,Blood fluke
Schistosoma haematobium,Blood fluke
Schistosoma japonicum,Blood fluke
Schistosoma mansoni,Blood fluke
Schistosoma mekongi,Parasitic worm
Schistosoma spindale,Parasitic worm
Schistura balteata,Sumo loach
Schizaphis graminum,Green bug aphid
Schizocosa malitiosa,Wolf spider
Schizophyllum commune,Split gill fungus
Schizophyllum commune,Split gill fungus
Schizosaccharomyces cryophilus,Fission yeast
Schizosaccharomyces japonicus,Fission yeast
Schizosaccharomyces japonicus,Fission yeast
Schizosaccharomyces kambucha,Fission yeast
Schizosaccharomyces octosporus,Fission yeast
Schizosaccharomyces octosporus,Fission yeast
Schizosaccharomyces pombe,Fission yeast
Schizosaccharomyces pombe,Fission yeast
Schizura unicornis,Unicorn caterpillar moth
Schizymenia pacifica,Red alga
Schlumbergera truncata,Thanksgiving cactus
Schmidtea mediterranea,Freshwater planarian flatworm
Schmidtea polychroa,Freshwater planarian flatworm
Schroederichthys bivius,Narrowmouthed catshark
Schultesia lampyridiformis,Firefly mimic roach
Schyzocotyle acheilognathi,Asian fish tapeworm
Sciadopitys verticillata,Japanese umbrella-pine
Sciaenops ocellatus,Red drum
Scilla messeniaca,Greek squill
Scilla peruviana,Hyacinth of Peru
Scilla siberica,Siberian squill
Scinax ruber,Red snouted treefrog
Sciocoris microphthalmus,Stink bug
Scirtothrips dorsalis,Chilli thrips
Sciurillus pusillus,Neotropical pygmy squirrel
Sciurus aberti,Abert's squirrel
Sciurus aestuans,Guianan squirrel
Sciurus carolinensis,Eastern gray squirrel
Sciurus griseus,Western gray squirrel
Sciurus ignitus,Bolivian squirrel
Sciurus lis,Japanese squirrel
Sciurus niger,Eastern fox squirrel
